spe,Year,MRWnew,MRW,MaxLA,CNO,CDa,CDm,ObsRCTA,MAXLA,n,age1,age,std
BP,1960,3.980425781,3.980425781,1957.511656,367.9148605,84.96125996,108.0735625,0.18650258,5847.339925,1,1,NA,NA
BP,1961,3.497959839,3.497959839,1957.511656,367.9148605,84.96125996,108.0735625,0.18650258,5847.339925,2,2,NA,NA
BP,1962,2.110954071,2.110954071,1805.112403,174.2668398,37.09504516,59.20606254,0.108747015,7725.941898,2,3,NA,NA
BP,1963,4.258103515,4.258103515,2284.297419,346.4783607,59.83631957,80.82586145,0.154655654,6368.012654,3,4,NA,NA
BP,1964,4.3482,5.062012533,2704.340211,386.1697488,60.23853096,76.11796337,0.174661799,6738.583418,3,5,2.733333333,4.3482
BP,1965,4.345368421,3.916812419,2645.009299,288.3426539,67.67465499,80.46013845,0.186661808,5905.155188,3,6,3.157894737,4.345368421
BP,1966,4.3544,3.805977539,3052.832188,242.7453727,40.3383097,64.81725034,0.169539566,6740.892439,4,7,4,4.3544
BP,1967,3.860666667,4.045513525,3242.088751,236.5309301,49.01042142,61.80668705,0.150224675,6051.667388,5,8,4.80952381,3.860666667
BP,1968,3.954545455,4.045559375,3161.730639,294.7982499,56.90753288,69.7252499,0.180722334,7295.756495,5,9,5.590909091,3.954545455
BP,1969,2.985434783,2.73853855,3766.093195,154.308365,50.91720634,64.21338048,0.189242668,7964.986736,5,10,6.347826087,2.985434783
BP,1970,3.157130435,3.427772217,3517.524044,252.2001403,62.98670124,74.85791403,0.194331813,7530.857215,5,11,7.347826087,3.157130435
BP,1971,2.89284,2.642148389,3479.2537,176.6672689,54.5486829,65.38869586,0.185077184,7814.285043,5,12,7.76,2.89284
BP,1972,3.060538462,2.632081836,3499.177917,169.0281292,52.97636986,64.29685296,0.182845593,7398.621466,5,13,8.461538462,3.060538462
BP,1973,2.860793103,2.441127832,4041.661946,155.5112599,52.88502287,62.7693718,0.201724079,7422.667657,5,14,8.586206897,2.860793103
BP,1974,2.751965517,2.690395996,3980.774544,174.8189113,53.71687931,63.79863625,0.192870792,7009.86824,5,15,9.586206897,2.751965517
BP,1975,2.814172414,2.123725293,4175.921261,134.7799184,51.55717035,63.11941909,0.202451571,7021.382143,5,16,10.5862069,2.814172414
BP,1976,2.416068966,2.086386353,4053.104151,128.1915119,50.58513225,60.28249653,0.196576934,8802.285929,5,17,11.5862069,2.416068966
BP,1977,2.247586207,1.969079761,4098.164468,114.9098545,51.43102859,58.16437837,0.19512001,7194.636148,5,18,12.5862069,2.247586207
BP,1978,2.195413793,1.937046753,4333.028343,119.9775052,51.01715031,62.38642932,0.195874045,7273.450652,5,19,13.5862069,2.195413793
BP,1979,2.190517241,1.993862183,4281.618225,113.2034666,46.86415286,57.32082953,0.191553056,7249.690219,5,20,14.5862069,2.190517241
